127.0.0.1 - - [30/May/2019:19:57:05 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:08 +0800] "GET /BBS/static_file/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:08 +0800] "GET /BBS/static_file/layui/css/layui.css HTTP/1.1" 200 69524
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:08 +0800] "GET /BBS/static_file/css/index.css HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:08 +0800] "GET /BBS/static_file/layui/layui.js HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:08 +0800] "GET /BBS/static_file/layui/lay/modules/element.js HTTP/1.1" 200 7264
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:08 +0800] "GET /BBS/static_file/layui/font/iconfont.eot?v=240 HTTP/1.1" 200 40844
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:08 +0800] "GET /BBS/static_file/layui/lay/modules/layer.js HTTP/1.1" 200 22041
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:08 +0800] "GET /BBS/static_file/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1" 200 14425
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:08 +0800] "GET /BBS/ HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:15 +0800] "GET /BBS/ HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:15 +0800] "GET /BBS/static_file/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:15 +0800] "GET /BBS/static_file/layui/css/layui.css HTTP/1.1" 200 69524
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:15 +0800] "GET /BBS/static_file/css/index.css HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:15 +0800] "GET /BBS/static_file/layui/layui.js HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:15 +0800] "GET /BBS/static_file/layui/lay/modules/element.js HTTP/1.1" 200 7264
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:15 +0800] "GET /BBS/static_file/layui/font/iconfont.woff?v=240 HTTP/1.1" 200 26744
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:15 +0800] "GET /BBS/static_file/layui/lay/modules/layer.js HTTP/1.1" 200 22041
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:15 +0800] "GET /BBS/static_file/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1" 200 14425
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:15 +0800] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:19 +0800] "GET /BBS/ThematicColumn?column_id=2 HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:20 +0800] "GET /BBS/static_file/layer/layer.js HTTP/1.1" 200 22116
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:20 +0800] "GET /BBS/static_file/css/ThematicColumn.css HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:20 +0800] "GET /BBS/static_file/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14367
0:0:0:0:0:0:0:1 - - [30/May/2019:19:57:21 +0800] "GET /BBS/add_content?column_id=2 HTTP/1.1" 200 2291
